[2025-01-28 18:08:21] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:08:26] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:08:31] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:08:36] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:08:41] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:08:46] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:08:51] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:08:56] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:09:01] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:09:06] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:09:11] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:09:16] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:09:21] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:09:26] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:09:31] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:09:36] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:09:41] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:09:46] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:09:51] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:09:56] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:10:01] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:10:06] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:10:11] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:10:16] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:10:21] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:10:26] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:10:31] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:10:36] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:10:41] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:10:46] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:10:51] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:10:56] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:11:01] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:11:06] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:11:11] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:11:16] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:11:21] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:11:26] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:11:31] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:11:36] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:11:41] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:11:48] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:11:53] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:11:58] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:12:03] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:12:08] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:12:13] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:12:18] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:12:23] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:12:28] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:12:33] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
[2025-01-28 18:12:38] Source: 192.168.1.1 -> Destination: 192.168.1.100 Protocol: TCP, Size: 512 bytes
