Real-time detection log initialized.
[2025-04-20 21:41:40] 🔍 Starting real-time detection scan
[2025-04-20 21:41:40] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-20 21:41:40] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-20 21:41:40] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-20 21:41:45] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-20 21:41:45] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-20 21:41:45] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-20 21:41:50] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-20 21:41:50] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-20 21:41:50] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-20 21:41:55] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-20 21:41:55] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-20 21:41:55] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:17:33] 🔍 Starting real-time detection scan
[2025-04-23 01:17:33] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:17:33] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:17:33] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:17:34] 🔍 Starting real-time detection scan
[2025-04-23 01:17:34] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:17:34] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:17:34] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:17:38] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:17:38] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:17:38] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:17:39] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:17:39] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:17:39] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:17:43] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:17:43] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:17:43] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:17:44] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:17:44] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:17:44] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:17:48] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:17:48] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:17:48] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:17:49] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:17:49] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:17:49] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:17:53] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:17:53] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:17:53] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:17:54] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:17:54] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:17:54] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:17:58] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:17:58] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:17:58] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:17:59] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:17:59] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:17:59] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:03] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:18:03] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:03] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:04] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:18:04] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:04] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:08] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:18:08] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:08] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:09] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:18:09] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:09] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:13] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:18:13] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:13] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:14] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:18:14] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:14] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:18] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:18:18] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:18] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:19] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:18:19] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:19] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:23] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:18:23] [ALERT] High frequency detected: Event ID 4625
[2025-04-23 01:18:23] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:23] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:24] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:18:24] [ALERT] High frequency detected: Event ID 4625
[2025-04-23 01:18:24] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:24] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:28] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:18:28] [ALERT] High frequency detected: Event ID 4625
[2025-04-23 01:18:28] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:28] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:18:29] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:18:29] [ALERT] High frequency detected: Event ID 4625
